Имя [Ru],Краткое описание [Ru],Категория [Ru]
HQD EOS 600 Lemon Lime,Компактная электронная сигарета HQD EOS 600 Lemon Lime на 600 затяжек. Удобный формат и простота использования без подзарядки.,Hqd eos 600
Мундштук груша жен. Слим - 100,Элегантный женский мундштук формы груша для сигарет формата слим. Стильный аксессуар с артикулом MUS0592.,
Королевский Корсар Чери,Королевский Корсар Чери — качественный продукт с ароматом вишни по доступной цене.,
BalMY MAX Tabacco,"BalMY MAX Tabacco — компактное устройство с классическим вкусом, готовое к работе сразу после вскрытия, идеальное для поездок.",
Pod UWELL V6 (Goose Yellow),Компактная под-система Pod UWELL V6 (Goose Yellow) в ярком желтом цвете для комфортного парения. Оригинальное устройство от бренда UWELL с современным и эргономичным дизайном.,UWELL
Elf Bar Lux 800 Strawberry Energy (Stra Enrg),Elf Bar Lux 800 Strawberry Energy — одноразовая электронная сигарета со вкусом клубничного энергетика.,Elf Bar 800
Pod Z-JOINS MINI (red),"Pod Z-JOINS MINI (red) — это компактная под-система в стильном красном цвете, идеально подходящая для ежедневного использования.",Z-JOINS MINI
E-Lichid CLAUD 10 ml. GRPFRT BLUGERRY #3,Жидкость X3 объемом 10 мл со вкусом грейпфрута и черники для заправки электронных систем.,Жидкость ХЗ
Бонг Glass JNBG-185,Стеклянный бонг Glass JNBG-185 для комфортного использования. Надежный аксессуар с классическим дизайном и прочным корпусом.,Бонги
Бумага Luxe Glass 1 1/4,Качественная прозрачная бумага Luxe Glass 1 1/4 для создания самокруток вручную.,Бумага
Фильтры ZIG ZAG SLIM MENTHOL 150шт - 10 в упак.,Качественные ментоловые фильтры формата слим в экономичной упаковке из 10 штук. Идеально подходят для самокруток.,Фильтры
E-Lichid CLAUD 10 ml. Classic Tobacco #16,Жидкость CLAUD Classic Tobacco #16 объемом 10 мл с классическим табачным вкусом для повседневного парения.,Жидкость Claud
E-Liquid UWELL 10 ml. (STRAWBERRY GRAPEFRUIT) №04,Жидкость E-Liquid Uwell 10 ml. со вкусом клубники и грейпфрута для ежедневного использования.,Жидкости UWELL
Pod VAPORESSO XROS 5 MINI (Titanium Silver),Компактный Pod VAPORESSO XROS 5 MINI в стильном цвете Titanium Silver для повседневного использования. Надежное устройство из категории Vaporesso с минималистичным дизайном.,Vaporesso
Grace Glass | Oil Nail- SG:14.5mm,Стеклянный гвоздь Grace Glass для масел с разъемом 14.5 мм. Надежный и точный аксессуар для вашего девайса.,Бонги
BalMY500 Strawberry Kiwi — 0%,Безникотиновая одноразовая электронная сигарета со вкусом клубники и киви серии Balmy 500.,Balmy 500
Elf Bar BC4000 Cranberry Grape,Одноразовая электронная сигарета Elf Bar BC4000 с ярким вкусом клюквы и винограда на 4000 затяжек.,
Трубка JNMP-43,"Компактная трубка JNMP-43 из категории бонгов, идеальная для ежедневного использования и поездок. Надежный аксессуар, удобный в уходе.",Бонги
"Filtre pentru tigari 14mm POP A TIP filters - Ø 5,7mm","Фильтры OCB диаметром 5,7 мм и длиной 14 мм в удобной упаковке POP A TIP. Идеально подходят для тонких самокруток.",
